ratio_rolling_sum_180_net_uplift_split_stg_item_cd_rolling_sum_180_baseline_split_stg_item_cd_last_year,rolling_mean_1126_relative_uplift_binary_negative_stg_item_cd_last_available,supplier_funding_perc,rolling_mean_720_relative_uplift_binary_negative_stg_item_category_cd_last_available,is_gondola,ratio_rolling_sum_60_net_uplift_split_stg_item_cd_rolling_sum_60_baseline_split_stg_item_cd_last_available,rolling_sum_180_net_uplift_split_stg_item_category_cd_last_available,rolling_sum_180_baseline_split_stg_item_cd_last_available,rolling_mean_360_relative_uplift_multiclass_mid_stg_item_category_cd_last_available,rolling_mean_180_relative_margin_with_supplier_binary_positive_stg_item_category_cd_last_year,ratio_rolling_sum_180_net_margin_split_stg_item_cd_rolling_sum_180_baseline_split_stg_item_cd_last_available,rolling_mean_540_relative_margin_binary_positive_stg_item_cd_last_available,rolling_sum_180_net_uplift_split_stg_item_category_cd_last_year,rolling_sum_90_net_uplift_split_stg_item_category_cd_last_available,rolling_sum_365_prm_net_amount_without_tax_val_if_promo_stg_item_cd_last_available,ratio_mean_30_stg_item_selling_price_val_stg_item_cost_price_val_last_available,ID_NA,ratio_rolling_sum_180_net_uplift_split_stg_item_cd_rolling_sum_180_baseline_split_stg_item_cd_last_year_NA,rolling_mean_1126_relative_uplift_binary_negative_stg_item_cd_last_available_NA,ratio_rolling_sum_60_net_uplift_split_stg_item_cd_rolling_sum_60_baseline_split_stg_item_cd_last_available_NA,rolling_mean_360_relative_uplift_binary_negative_stg_item_cd_last_available_NA,ratio_rolling_sum_180_net_margin_split_stg_item_cd_rolling_sum_180_baseline_split_stg_item_cd_last_available_NA,rolling_mean_540_relative_margin_binary_positive_stg_item_cd_last_available_NA,supplier_funding_perc_zero
3.160737986,0.666666667,8.0,0.809624648,0,-0.013943823,3140505.092,1251603.807,0.792,0.666666667,0.265071987,0.666666667,392186.5072,4317483.516,77835.63478,1.487425349,0,0,0,0,0,0,0,0
0.13564870699999998,0.666666667,20.0,0.755807672,0,1.3727115769999998,14400000.0,123879.4981,0.786407767,0.666666667,0.053909226,0.666666667,708233.9021,18653.3091,6550.478254,1.516007244,0,1,0,1,0,0,0,0
0.050940481,0.708333333,10.0,0.8832021,0,0.212323218,18200000.0,1829148.205,0.75974026,0.666666667,0.072616648,0.716666667,1951419.016,1808292.944,0.666666667,1.416068658,0,0,0,0,0,0,0,0
-0.320610114,0.805555556,15.0,0.741765481,0,0.568599166,44834.86812,0.666666667,0.728941323,0.679875364,0.169533411,1.0,7852.894196,125904.3479,6212417.996,1.266666667,0,0,0,0,0,0,1,0
-0.320831118,0.763888889,12.0,0.753799392,0,1.3727115769999998,108598.2558,0.666666667,0.726190476,0.666666667,0.152484581,0.82983683,461241.1923,1290185.989,1387779.875,1.239663945,0,0,0,1,0,0,0,0
0.13564870699999998,0.895833333,16.47058824,0.834296724,0,1.028265461,97766.8111,331203.9503,0.745934959,0.682216019,0.369241043,1.0,478077.5989,47596.60768,1929596.339,1.338463785,0,1,0,0,1,1,0,0
0.13564870699999998,0.833333333,20.0,0.752216293,1,-0.344051636,3807659.819,27675.71949,0.763745112,0.701897019,-0.147766489,0.666666667,17900000.0,183.8152851,0.666666667,1.532007328,0,1,0,0,0,0,0,0
0.666527972,0.666666667,7.151898734,0.952380952,0,-0.092228363,21000000.0,172288.0956,0.742424242,0.666666667,0.197775389,1.0,143947.8904,0.666666667,2960344.864,1.323354243,0,0,0,0,1,0,0,0
0.294190508,0.666666667,15.0,0.737931034,0,1.3727115769999998,628709.1236,0.666666667,0.728494624,0.701897019,-0.061916346,0.666666667,2287931.486,129677.5398,1124219.292,1.409055374,0,0,0,1,1,0,0,0
-0.198575254,0.807017544,15.0,0.828928539,0,-0.073465173,1679100.366,306123.0631,0.677902622,0.666666667,-1.948890909,0.666666667,5107100.309,-1051936.882,2989143.574,1.400993009,0,0,0,0,0,0,0,0
1.522154322,0.807017544,15.0,0.754292448,0,0.362452827,505569.164,0.666666667,0.756218905,0.666666667,0.098574734,0.848484848,6859324.565,2200120.849,2527315.513,1.324238858,0,0,0,0,0,0,0,0
1.255399973,1.0,10.0,0.753863135,0,1.292574807,205081.6406,596944.1284,0.733974657,0.666666667,0.263301695,1.0,1266661.33,957980.1681,615159.2806,1.400756146,0,0,0,0,0,0,1,0
